Date/Time,Nits
Tue Dec 15 11:20:41 2020, 155.00
Tue Dec 15 11:20:42 2020, 155.00
Tue Dec 15 11:20:43 2020, 155.00
Tue Dec 15 11:20:44 2020, 155.00
Tue Dec 15 11:20:45 2020, 155.00
Tue Dec 15 11:20:46 2020, 155.00
Tue Dec 15 11:20:47 2020, 155.00
Tue Dec 15 11:20:48 2020, 155.00
Tue Dec 15 11:20:49 2020, 155.00
Tue Dec 15 11:20:50 2020, 155.00
Tue Dec 15 11:20:51 2020, 155.00
Tue Dec 15 11:20:52 2020, 155.00
Tue Dec 15 11:20:53 2020, 155.00
Tue Dec 15 11:20:54 2020, 155.00
Tue Dec 15 11:20:55 2020, 155.00
Tue Dec 15 11:20:56 2020, 155.00
Tue Dec 15 11:20:57 2020, 155.00
Tue Dec 15 11:20:58 2020, 155.00
Tue Dec 15 11:20:59 2020, 155.00
Tue Dec 15 11:21:00 2020, 155.00
Tue Dec 15 11:21:01 2020, 155.00
Tue Dec 15 11:21:02 2020, 155.00
Tue Dec 15 11:21:03 2020, 155.00
Tue Dec 15 11:21:04 2020, 155.00
Tue Dec 15 11:21:05 2020, 155.00
Tue Dec 15 11:21:06 2020, 155.00
Tue Dec 15 11:21:07 2020, 155.00
Tue Dec 15 11:21:08 2020, 155.00
Tue Dec 15 11:21:09 2020, 155.00
Tue Dec 15 11:21:10 2020, 155.00
Tue Dec 15 11:21:11 2020, 155.00
Tue Dec 15 11:21:12 2020, 155.00
Tue Dec 15 11:21:13 2020, 155.00
Tue Dec 15 11:21:14 2020, 155.00
Tue Dec 15 11:21:15 2020, 155.00
Tue Dec 15 11:21:16 2020, 155.00
Tue Dec 15 11:21:17 2020, 155.00
Tue Dec 15 11:21:18 2020, 155.00
Tue Dec 15 11:21:19 2020, 155.00
Tue Dec 15 11:21:20 2020, 155.00
